"phenotype","taxon","Nsamples","levels","levels_SampleSize","effect.size","R2","F.stat","Pvalue","FDR"
"MED.DISEASES.Blood.Anemia","CARD.ARO_3003559",2000,"Not Applicable","1979:21",1.25233,0.00203348313582422,4.07603195263993,0.0436292247408476,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3004454",2000,"Not Applicable","1979:21",0.2131,7.01557273456619e-05,0.140073802451248,0.708247427900892,0.983937218670218
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000190",2000,"Not Applicable","1979:21",0.77222,0.000869757215403606,1.74184113169116,0.187057134952037,0.871860108022199
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000498",2000,"Not Applicable","1979:21",1.56522,0.00129274156582545,2.59189932740717,0.107569667155607,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3003361",2000,"Not Applicable","1979:21",-0.01104,2.58849108651172e-07,0.000516620401117387,0.981868488779192,0.998959205131665
"MED.DISEASES.Blood.Anemia","CARD.ARO_3002686",2000,"Not Applicable","1979:21",0.34374,0.000345865487594699,0.690452849760451,0.406109825328099,0.932743430144537
"MED.DISEASES.Blood.Anemia","CARD.ARO_3002897",2000,"Not Applicable","1979:21",0.7183,0.000467653740619139,0.934773817133071,0.333742704498118,0.908885947979821
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000464",2000,"Not Applicable","1979:21",1.03911,0.00176034171746855,3.52727493314118,0.0605126766830276,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3002660",2000,"Not Applicable","1979:21",1.21488,0.00136906572107347,2.73928355062513,0.0980659433423919,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000522",2000,"Not Applicable","1979:21",2.2978,0.00482061254379736,9.68591529912375,0.00188317704131985,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3001216",2000,"Not Applicable","1979:21",-1.30964,0.00223849990080078,4.4815259001716,0.0343865903953012,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3003577",2000,"Not Applicable","1979:21",-0.3195,0.000377973999245039,0.754765166581445,0.385076232168464,0.92680552019942
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000792",2000,"Not Applicable","1979:21",-0.9096,0.00135708614156377,2.71652826152797,0.0994712754432792,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000793",2000,"Not Applicable","1979:21",-0.96857,0.00148908028027996,2.97748883674917,0.0845850248935579,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000794",2000,"Not Applicable","1979:21",-0.60117,0.000546385711771018,1.09331410945575,0.295864745429897,0.904724387470265
"MED.DISEASES.Blood.Anemia","CARD.ARO_3003578",2000,"Not Applicable","1979:21",-0.60468,0.000510388993107819,1.01894091965583,0.312892768714607,0.905139703937341
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000074",2000,"Not Applicable","1979:21",-1.16744,0.00186383022570996,3.72814964293882,0.0536441753225965,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3002986",2000,"Not Applicable","1979:21",-0.94155,0.00107679687450356,2.15177389936107,0.142562886883373,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000656",2000,"Not Applicable","1979:21",-0.59951,0.000773665382210392,1.54791251714856,0.213590028933226,0.882186704896649
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000499",2000,"Not Applicable","1979:21",-0.43639,0.000331601820904458,0.663272921498376,0.415504052727721,0.932743430144537
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000502",2000,"Not Applicable","1979:21",-0.80539,0.00120401396374199,2.40506501710168,0.12110171136306,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3000796",2000,"Not Applicable","1979:21",-0.73217,0.000998678016101347,1.99455496187779,0.158021397411526,0.868569643611079
"MED.DISEASES.Blood.Anemia","CARD.ARO_3003381",2000,"Not Applicable","1979:21",-0.58699,0.000448281676528096,0.895976384770691,0.343977518633042,0.913526848369468
