"phenotype","taxon","Nsamples","levels","levels_SampleSize","effect.size","R2","F.stat","Pvalue","FDR"
"MED.DISEASES.Blood.Anemia","X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis",2000,"Not Applicable","1979:21",-0.05562,0.00175342656853573,3.51246114249208,0.0610549540896744,0.812994114950802
"MED.DISEASES.Blood.Anemia","AEROBACTINSYN.PWY..aerobactin.biosynthesis",2000,"Not Applicable","1979:21",0.00155,7.01945548254364e-05,0.140156983102632,0.708164786972404,0.995398146482195
"MED.DISEASES.Blood.Anemia","ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism",2000,"Not Applicable","1979:21",0.00089,2.45111162588947e-05,0.0489512541274029,0.824920964088969,0.995398146482195
"MED.DISEASES.Blood.Anemia","ANAEROFRUCAT.PWY..homolactic.fermentation",2000,"Not Applicable","1979:21",-0.06564,0.000143050572695298,0.285626853826951,0.593096223361835,0.992610376487751
"MED.DISEASES.Blood.Anemia","ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis",2000,"Not Applicable","1979:21",0.00068,1.4017365521512e-05,0.0280015619937468,0.86712210990289,0.995398146482195
"MED.DISEASES.Blood.Anemia","ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion",2000,"Not Applicable","1979:21",-0.00998,2.26762253579059e-05,0.0453164400228148,0.831444976272992,0.995398146482195
"MED.DISEASES.Blood.Anemia","ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.",2000,"Not Applicable","1979:21",0.00195,0.000113681840704841,0.227036439897121,0.633782204408423,0.992998956060438
"MED.DISEASES.Blood.Anemia","ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.",2000,"Not Applicable","1979:21",-0.01364,0.000430784180963189,0.860126346167644,0.353815522008629,0.949537083219882
"MED.DISEASES.Blood.Anemia","ARO.PWY..chorismate.biosynthesis.I",2000,"Not Applicable","1979:21",0.01015,4.32354060934592e-05,0.086368538598324,0.768876162418456,0.995398146482195
"MED.DISEASES.Blood.Anemia","ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis",2000,"Not Applicable","1979:21",-0.03085,0.000125075246930852,0.249732768007536,0.61731841647736,0.992998956060438
"MED.DISEASES.Blood.Anemia","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I",2000,"Not Applicable","1979:21",-0.00265,0.00018755629452405,0.374762161101727,0.540489619668767,0.987963381880965
"MED.DISEASES.Blood.Anemia","BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis",2000,"Not Applicable","1979:21",-0.16424,0.000521277588952035,1.04689475329811,0.30634738906683,0.945052240053038
