"Glycemic Load","Total Kcal","Alchohol Intake","Carb Intake","Carbs Fructose","Carbs Glucose","Carbs Lactose","Carbs Maltose","Carbs Poly","Carbs Suchrose","Fat Intake","Protein Intake","Protein Animal","Protein Plant","Probiotics","Carb Fat Ratio","Carb Protein Ratio","Lifelines Diet Score","Lifelines Protein Score","Lowcarb Dietscore","Plantprotein Diet score","General Health"
"s__Bifidobacterium_adolescentis","+","+","-","+","","","","+","+","","","","-","","","+","+","","","-","+","+"
"s__Bifidobacterium_bifidum","+","","-","+","","","","+","+","+","","-","-","","","+","+","","","-","+",""
"s__Bifidobacterium_catenulatum","+","+","-","+","","","+","+","","+","","-","","","","+","+","","","-","",""
"s__Bifidobacterium_dentium","","","-","+","","","","","","+","","","","-","","","+","","-","-","","-"
"s__Bifidobacterium_longum","+","+","-","+","","","","+","+","+","-","-","-","+","","+","+","","","-","+",""
"s__Bacteroides_cellulosilyticus","-","-","","-","","","","-","","","","","","","","","","","","","",""
"s__Bacteroides_clarus","-","-","+","-","","","-","-","","-","","","","","","","-","","","","-",""
"s__Bacteroides_finegoldii","-","","+","-","","","","-","-","-","","+","+","","","-","-","","","+","",""
"s__Bacteroides_massiliensis","","","+","-","","","","","","-","","","","","","","-","","","+","",""
"s__Bacteroides_salyersiae","-","","+","-","","","","","","","","","","","","","-","","","","",""
"s__Barnesiella_intestinihominis","","","","","","","","","","","","+","+","","","","","","","","","+"
"s__Parabacteroides_goldsteinii","-","","+","","","","-","","","","","","","","","","","","","","",""
"s__Parabacteroides_johnsonii","","","+","-","","","","-","-","","","","+","","","","-","","","","-",""
"s__Parabacteroides_merdae","","","+","-","","","-","","","","","","","","","-","","-","","","",""
"s__Lactobacillus_delbrueckii","","","","","","","+","","","","-","+","+","","","+","","+","","","",""
"s__Streptococcus_parasanguinis","","","-","","","","","","","+","","","","","","","+","","","","","-"
"s__Streptococcus_salivarius","+","","-","+","","","","","","+","","","","","","","+","","","","","-"
"s__Streptococcus_thermophilus","","","","+","","","+","","","","-","+","+","","","+","","+","","","-",""
"s__Clostridium_asparagiforme","-","-","","","","","","","","","","","","-","","","","-","","","-","-"
"s__Clostridium_bolteae","-","-","","","","","","","-","","","","","-","","","","-","","","","-"
"s__Clostridium_citroniae","-","-","","","","","","","","","","","","","","","","","","","","-"
"s__Clostridium_hathewayi","","","","","","","","","","","","","","-","","","","-","","","","-"
"s__Clostridium_leptum","","","-","","","","","","","+","","-","","-","","","+","-","-","","","-"
"s__Flavonifractor_plautii","","","","","","","","","","","","","","-","","","","-","-","","","-"
"s__Pseudoflavonifractor_capillosus","","","","-","-","","","","-","","","","+","-","","","","-","-","","-","-"
"s__Eubacterium_eligens","-","","","","+","","","-","","-","","+","+","+","","","-","+","+","","","+"
"s__Eubacterium_ramulus","","","+","","","","","-","-","","","","+","","","","","","","","-",""
"s__Ruminococcus_gnavus","","","","","","","","","","","","","","-","","","","-","","","","-"
"s__Ruminococcus_obeum","-","-","+","","","","","-","","-","","+","","","","","-","+","","","",""
"s__Ruminococcus_torques","-","-","+","-","","","","-","-","","","","+","-","","-","-","-","-","+","-","-"
"s__Butyrivibrio_crossotus","","+","","","","","","","","","","","","+","","","","+","","","","+"
"s__Coprococcus_comes","-","","","","","","","","","","","+","+","","","","-","","","","-",""
"s__Dorea_formicigenerans","-","-","+","-","","","","-","-","","","","+","","","","-","","","+","-",""
"s__Lachnospiraceae_bacterium_3_1_46FAA","-","-","","","","","","-","","-","","+","","","","","-","","","","",""
"s__Lachnospiraceae_bacterium_5_1_63FAA","-","-","","","+","+","","","","","-","+","+","","","","","+","","","",""
"s__Lachnospiraceae_bacterium_8_1_57FAA","-","","","","","","","-","","","","","+","-","","","-","-","","","-","-"
"s__Roseburia_hominis","-","-","","","+","+","","","","","","+","","+","","","","+","+","","","+"
"s__Roseburia_inulinivorans","","","+","-","","","","","","","","","","","","-","-","","","+","-",""
"s__Oscillibacter_unclassified","","","","","-","","","","-","","","","","-","","","","-","-","","-","-"
"s__Clostridium_bartlettii","+","","-","+","","","+","","","","","","","","","","","+","","","",""
"s__Ruminococcaceae_bacterium_D16","-","","+","-","","","","-","-","","","","+","-","","-","-","","","+","-","-"
"s__Ruminococcus_lactaris","-","","+","-","","","","-","","","","+","","","","","-","+","+","+","","+"
"s__Subdoligranulum_unclassified","","","","","","","","","","","","","","+","","","","+","+","","","+"
"s__Holdemania_filiformis","-","","","","","","","-","","","","","","-","","","","-","","","","-"
"s__Holdemania_unclassified","-","-","+","","","","","-","","","","","+","","","","-","","","","-",""
"s__Dialister_invisus","+","+","-","+","","","","","+","+","","","-","+","","+","+","","","-","+",""
"s__Oxalobacter_formigenes","","","","","","","-","","","","","","","+","","","","","+","","+","+"
"s__Desulfovibrio_piger","","","+","-","","","","","","","+","","","","","-","","","","+","","+"
"s__Haemophilus_parainfluenzae","+","+","-","+","+","","+","","+","","","","","+","","+","","+","+","","",""
"s__Bacteroides_plebeius","","","","-","","","","","","","+","","","","","-","","","","+","",""
