"D.Cardiomet.Thrombosis","D.Cancer.NonBasal","D.Cardiomet.Arrythmia","D.Cardiomet.Cholesterol.high","D.Cardiomet.Heartrate.complains","D.Cardiomet.Hypertension","D.Cardiomet.DiabetesT2","D.GI.IBD.CD","D.GI.IBD.UC","D.GI.Stomach.Ulcer","D.GI.Gallstones","D.Mental.Bipolar","D.Mental.Burnout","D.Mental.Depression","D.Mental.Eating.disorder","D.Neuro.Fibromyalgia","D.Neuro.Migraine","D.Other.Rheumatoid.Arthritis","D.Other.Chronic.Cystitis","D.Other.Chronic.Inflammation.Throatnose","D.Other.Chronic.Muscle.Weakness","D.Other.Osteoarthritis","D.Pulmonary.Asthma","D.Pulmonary.COPD","D.Skin.Atopic.dermatitis","ACE_inhibitors_ATC_C09AA","Antibacterials_ATC_J01","Antipsychotics_atypical_ATC_N05AH","Beta_blokkers_ATC_C07AB","Biguanides_ATC_A10BA","Calcium_antagonists_ATC_C08CA","Corticosteroids_Eyedrops_ATC_S03A","Corticosteroids_Oral_ATC_H02","Fluorochinolons_ATC_C08DA","Intestinal_antiinflammatory_agents_ATC_A07E","Laxatives_osmotic_ATC_A06AD","Laxatives_volume_increasing_ATC_A06AC","Other_Alimentary_Metabolism_ATC_A","PPIs_ATC_A02BC","Salycilates_ATC_B01AC","Seratonine_uptake_inhibitors_selective_ATC_N06AB","Statines_ATC_C10AA","Sulfonylureumderivaties_ATC_A10BB","Tricyclic_antidepressants_ATC_N06AA","Vitamine_B_ATC_A11DA","D.GI.IBS.Any","D.GI.IBS.TypeM","D.GI.IBS.TypeD","D.GI.FGID.Bloating","D.GI.Discomfort.Unwell","D.GI.Discomfort.Pain","D.GI.Discomfort.Flatulence","D.GI.Discomfort.Burping","D.GI.Discomfort.Nausea","General Health"
"s__Bifidobacterium_adolescentis","","","","","","","-","","","","","","","","","-","","","","","","","-","-","","","-","","","-","","","","","","","","","","","","","","","","-","-","","","","","","","-","+"
"s__Bifidobacterium_dentium","","","","+","","","+","","","","","","","","","","","","","","+","","","+","","","","","+","","+","","","","","","","+","+","+","","+","","+","","+","","","","","","","","","-"
"s__Bifidobacterium_longum","","","","","","","","","","","","","","","","-","","","","","","","","-","","","-","","","","","-","","","","","","-","","","","","","","","-","-","","","","","","","",""
"s__Eggerthella_lenta","","","","","","","","","","","+","+","+","","","","","","","","","","","","","","+","","","","","","","","","","","","","","","","","","","","","","","","","","","","-"
"s__Eggerthella_unclassified","","","","","+","","","","+","","+","","","","","+","","","","","+","","","+","+","","+","","","","","+","","","+","","","","","","","","","","","+","","+","","+","+","","","+","-"
"s__Bacteroidales_bacterium_ph8","","","","","","","-","","-","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","","","+"
"s__Barnesiella_intestinihominis","","","","-","","","","-","","","","","","","","","","","","","-","","","","","","-","","","","","","","","","-","","","-","","","","","","","","","","","","","","","","+"
"s__Paraprevotella_clara","","","","-","","","-","","","","","","","","","","","","","-","","","","","-","","","","-","-","","","","","","","","","-","","","","","","","","","","","","","","","",""
"s__Paraprevotella_unclassified","","-","","-","","","","","","","","","","","","","","","","-","","","","","-","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","+"
"s__Prevotella_copri","","","-","-","-","-","","","","","","","","","","","","","","","","","","","","","-","","","","","-","","","","","","","","","","","","","","","","","","","","-","","","+"
"s__Alistipes_senegalensis","","","-","","-","","-","","-","","","","-","","","-","","","","-","-","","","-","","","-","","-","-","","","","","-","-","-","","-","","","","-","","-","-","","-","","-","-","","","","+"
"s__Streptococcus_parasanguinis","","","+","","","","+","","","+","","","","+","","+","","+","","","","+","","","","+","","","+","","+","+","+","","","+","","","+","+","+","+","","+","","+","","","","","+","+","+","+","-"
"s__Streptococcus_salivarius","","","+","","","","","","","+","","","","","","","","","","","","","","","","","","","+","","","","+","","","","","","+","+","","+","","","","","","","","","","+","+","","-"
"s__Clostridium_asparagiforme","","+","","","","+","+","","","+","+","+","+","+","+","+","+","","","+","","","+","+","","+","","+","+","+","+","","+","","","+","","+","+","","+","","","","","+","","","+","+","+","","","+","-"
"s__Clostridium_bolteae","","+","","+","","+","+","","+","","+","+","","","+","","","","","","","","","","","","+","+","+","+","","","","","","+","","+","+","","+","","+","","+","+","","+","+","+","+","","","+","-"
"s__Clostridium_citroniae","","","","","","","+","","","","+","","","","","","","","","+","","","","","","","","","+","+","","","+","","","","+","","+","+","","","","","","+","","+","","+","+","","+","","-"
"s__Clostridium_hathewayi","","","","","","","+","","+","","","","","","+","","","","","","","","","","","+","+","+","+","+","","","","+","","+","","","+","+","","+","+","","","","","","","","","","","","-"
"s__Clostridium_leptum","","","","","","","","","","","","","","","","+","","","+","","","+","","","","","","","","","","","","","","+","+","","+","","","","","+","","","","","","","+","","","","-"
"s__Flavonifractor_plautii","+","+","","","","+","+","","","","+","+","+","+","","+","","","","","+","","","","+","","","","","+","+","","","","","","","+","","","+","","","","","+","+","","","+","+","","","+","-"
"s__Pseudoflavonifractor_capillosus","","+","","","+","","","","","","","","","","","","","","","","+","","","+","+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-"
"s__Eubacterium_rectale","","","","","","","-","-","","","","","","","","","","","","","","","","","","","-","-","","-","","","","-","","","","-","","","","","-","","-","-","","","","-","","","","-",""
"s__Ruminococcus_gnavus","","","","+","","","+","+","","","+","","+","","","","","","","","","","","","","","+","","+","","","","","","","+","","","","","","","","","+","+","","+","","+","+","","+","+","-"
"s__Ruminococcus_torques","","","","","","","+","","","","","","","","","","","","","","","","","","","+","+","","","+","","","","","","+","","","","","","","","","","","","","","","+","","","+","-"
"s__Butyrivibrio_crossotus","-","","","","","","-","","","","","","","","","-","","","","","-","-","-","-","","","","","","-","","","","","","","","","-","","","","","","","-","-","","","","-","","-","","+"
"s__Dorea_longicatena","","","","","","","-","","","","","","-","","","","-","","","","","","-","-","-","","","-","","-","","","","","","","","","-","","-","","-","","","","","","","-","","","","","+"
"s__Lachnospiraceae_bacterium_1_1_57FAA","","","","","","","","","","","","","","","","","","","","","","","+","","","","","","","","","","","","","+","","","","+","","","","","","","","","","+","+","","","+",""
"s__Lachnospiraceae_bacterium_3_1_57FAA_CT1","","","","","","","","","","","","","","","","","","","","","","","","","","","+","+","","","","","","+","","","+","","","","","","","","","","","","","","","","","","-"
"s__Lachnospiraceae_bacterium_8_1_57FAA","","","","+","","","","","","","","","","","","","","","","","","","","","","","+","","","","","","","","","+","","","","","","","","+","","","","","","","+","","","+","-"
"s__Roseburia_hominis","","","","","","","-","","","","","","","","","","","","","","-","","","","","","-","","","-","","","","","-","","","","","","","","-","","","","","","","","","","","","+"
"s__Roseburia_inulinivorans","","","","","","","","","","","","","","","","","","-","","","","","","","","","-","","","","","","","-","-","","","","","-","","","","","","","","","","","","","","",""
"s__Oscillibacter_unclassified","","","","","","","","-","","","","","","","","+","+","","+","","","","","+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-"
"s__Anaerotruncus_colihominis","","","","","","","+","","","","+","+","","","","","","","","","","","","","","","","","","+","","","","","","+","","","+","","+","","","","","+","","","+","+","+","","","","-"
"s__Anaerotruncus_unclassified","","","","","","","+","","","","","","+","","+","","","","","","","","","","","","","+","","+","","","","","","","","","","","","","","+","","","","","","","","","","","-"
"s__Faecalibacterium_prausnitzii","","","","","","","-","-","","","-","","","-","","","","-","","","-","","-","","","","-","","-","-","","","","-","","","","-","-","","","","-","-","","-","","-","","-","-","","","-","+"
"s__Ruminococcaceae_bacterium_D16","+","+","","","","","","","+","","","","+","","","","","","+","","+","+","","","+","","","","","","","","","","+","","","","+","","","","","","","","","","","+","","","+","","-"
"s__Subdoligranulum_unclassified","","","","","","","-","-","-","","","","","","","","","","","","-","","","","","","","","","-","","","","","-","","","","-","","","","-","","","-","","","-","-","-","","","-","+"
"s__Holdemania_filiformis","","","+","","+","","","","","","","","","","","+","+","","","","","","","","+","","","","","","","","","","","","","","","","+","","","","","+","+","","","+","+","","","","-"
"s__Mitsuokella_unclassified","","","","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","-","","-","","","","","","","","","","","-","","","","","","","","","","","","",""
"s__Veillonella_atypica","","","","","","","","","","","","","","","+","","","","","","","","","","","","","","","","","+","+","","","+","+","+","+","","","","","+","","+","","+","","+","+","","+","+",""
"s__Veillonella_parvula","","","+","","","","","","","+","","","","","","","","","","","","","","+","","","","","+","","","","","","","+","+","","+","+","","+","","","+","","","+","","","","","","","-"
"s__Bilophila_unclassified","","","","","-","","","-","","","","","","","","","","","","","","","","-","","","-","","","","","","","-","","","","","","","","","","","-","","","","","","","","","","+"
"s__Desulfovibrio_piger","","","","","-","","","","","","","","","","","-","","","","-","","","-","","","","","","","","","-","","","-","","","","-","","","","","","","-","","-","","","","","","","+"
"s__Escherichia_coli","","","","","","","+","","","","","","","","","","","+","","","","","","","","","","","","+","+","","","","","","","","+","","","","+","","","","","","","","","","","",""
"s__Escherichia_unclassified","","","","","","","+","","","","","","","","","","","","","","","","","","","","","","","+","","","","","","","","","+","","-","","+","+","","","","","","","","","","",""
"s__Klebsiella_pneumoniae","","+","","","","","+","","","","+","","","","","","","","","","+","","","","","","","","","+","","","","","","","","","+","","","","+","","","","","","","","","","","",""
"s__Akkermansia_muciniphila","","","","","","","","","","","","","","","","","","","","","","-","","","","","-","","","","","","","","-","","-","","-","","","","","","","","","","","","","","","","+"
"s__Alistipes_shahii","","","","","-","","-","","","","","","-","","","","","","","","","","","","","","","","-","-","","","","","","","","","-","","","","","","-","","-","","","","","","","","+"
"s__Coprococcus_comes","","","","","","","","","","","","","","","","-","","-","","","","","","","","","","","","","","","-","","","","","","","","","","-","","","","","","","-","","","-","",""
"s__Ruminococcus_bromii","","","","","","","-","","","","","","","-","","","","","","","","-","","","","","","","","-","","","","","","-","","","-","","","","","","","","","","","","","","","",""
"s__Ruminococcus_lactaris","","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","-","-","","","","","-","","","-","","","","","","","","","","","","","","","","+"
