"Trait","Trait.short","N","Nz","Prev","MS.Mdl","VE_ID","CI_ID","MS.CI_ID","LogL_ID","Pv_ID","FDR_ID","SW_PV_ID","SW_FDR_ID","VE_COHOUSING.ID_DMP","CI_COHOUSING.ID_DMP","MS.CI_COHOUSING.ID_DMP","LogL_COHOUSING.ID_DMP","Pv_COHOUSING.ID_DMP","FDR_COHOUSING.ID_DMP","SW_PV_COHOUSING.ID_DMP","SW_FDR_COHOUSING.ID_DMP","VE_famID","CI_famID","MS.CI_famID","LogL_famID","Pv_famID","FDR_famID","SW_PV_famID","SW_FDR_famID","VE_Residual","CI_Residual","MS.CI_Residual","LogL_Residual","Est_Age","SE_Age","P.Chisq_Age","Est_Sex","SE_Sex","P.Chisq_Sex","Est_META.DNA.postclean.reads","SE_META.DNA.postclean.reads","P.Chisq_META.DNA.postclean.reads","Est_META.POOP.Freq","SE_META.POOP.Freq","P.Chisq_META.POOP.Freq"
"NAGLIPASYN.PWY..lipid.IVA.biosynthesis","biosynthesis",3571,265,96.77,"no.family.ID",0.26629737003522,NA,"0.14-0.39",-7032.72204068068,0.000391169329565819,0.108353904289732,1.78674351585014e-05,0.0049135446685879,0.0478897959688579,NA,"0-0.11",-7027.29960067182,0.188534829737455,1,0.0273291066282421,1,0,NA,NA,-7026.43508569787,1,1,1,1,0.685812833995922,NA,"0.56-0.81",-7026.43508569846,-0.0137416948065556,0.00178387589645927,1.32617744459512e-14,0.223022657618933,0.0576468829018244,0.000109384779683052,-0.189187858115139,0.196801127184562,0.336393852680968,0.229769954444699,0.0512774400713549,7.43230027031527e-06
"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I","I",3571,6,99.93,"full.model",0.267328419040388,"0.11-0.41","0.11-0.41",-5318.06550459082,0.000833770493083873,0.230120656091149,1.67146974063401e-05,0.00461325648414986,0.100077235274235,"0.03-0.17","0.03-0.17",-5316.16033457391,0.00669074424600653,1,0.000155619596541787,0.040149855907781,0.00954422803528872,"0-0.06","0-0.06",-5312.57701492209,0.664980973844435,1,0.149787896253602,1,0.623050117650089,"0.48-0.77","0.48-0.77",-5312.48325027774,-0.00734565318805593,0.00111764055379055,4.94890927756758e-11,-0.121456359496496,0.0350943062117398,0.000538459657402079,-0.43375010878261,0.121757235277324,0.000367455365620794,0.112892230968352,0.0317473139167607,0.000376599006070653
"PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage","salvage",3571,12,99.85,"no.family.ID",0.272497299557521,NA,"0.14-0.4",-5376.74038097013,0.00115718919665955,0.318227029081376,1.41210374639769e-05,0.00391152737752161,0.104658489291673,NA,"0.04-0.17",-5374.99913209263,0.0078167645263667,1,8.96253602305475e-05,0.0234818443804035,1.30529812777787e-06,NA,NA,-5371.46164033209,1,1,0.30078530259366,1,0.622842905852678,NA,"0.49-0.76",-5371.46164153188,-0.00845017851308948,0.00113578861227219,1.00744882268976e-13,-0.119824537853932,0.0357212272276991,0.00079527210645728,-0.358473964734644,0.123790945071584,0.00378191926007979,0.0826321013871696,0.0322755540188949,0.0104609813771165
"PWY.5101..L.isoleucine.biosynthesis.II","II",3571,57,99.31,"no.family.ID",0.229610768801535,NA,"0.09-0.36",-6252.07703188428,0.00228865877379161,0.627092504018901,0.000132564841498559,0.0361902017291066,0.107902486888557,NA,"0.05-0.16",-6252.77084469242,0.00107720317097086,0.28761324664922,6.36887608069164e-05,0.0168138328530259,0,NA,NA,-6247.42587999397,1,1,1,1,0.662486744309909,NA,"0.54-0.79",-6247.42587999411,-0.00312985632518949,0.00145141790894822,0.0310514370342849,-0.113670035965488,0.0456299317835783,0.0127337958489793,-0.370602994304566,0.158242254618108,0.0191808337929354,0.139789484319479,0.0412532458435176,0.000702582606036144
"PWY.6703..preQ0.biosynthesis","biosynthesis",3571,0,100,"no.family.ID",0.215832525405113,NA,"0.08-0.35",-4593.21987051918,0.00286365553135984,0.781777960061236,0.000283861671469741,0.0772103746397695,0.0392855722194036,NA,"0-0.1",-4589.59704664906,0.199406305765316,1,0.050728242074928,1,2.08291555131889e-10,NA,NA,-4588.77368794941,1,1,0.367136887608069,1,0.744881902167192,NA,"0.62-0.87",-4588.77368797022,-0.00697216176034086,0.000898114003450873,8.28687945685872e-15,0.00855668140106488,0.0292019521540548,0.769508817671604,-0.264540635243254,0.0994439967290262,0.00780949275133387,0.110761751550222,0.0259061954083432,1.90714977870332e-05
"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis","biosynthesis",3571,0,100,"full.model",0.240430172621247,"0.08-0.39","0.08-0.39",-4452.70152013393,0.0030321002671821,0.824731272673531,7.52161383285303e-05,0.0206092219020173,0.0487551076571192,"0-0.12","0-0.12",-4449.22714126575,0.175033807738681,1,0.0255510086455331,1,0.0120363957583706,"0-0.06","0-0.06",-4448.43262878843,0.616886240674583,1,0.120708069164265,1,0.698778323963263,"0.56-0.85","0.56-0.85",-4448.30749465133,-0.00695261983346697,0.000867891908223059,1.1384582719441e-15,-0.0754588391750281,0.0279206475439168,0.00687958008411485,-0.259284783562912,0.0956226931383886,0.00669714047934617,0.0763617765131198,0.0249168360191821,0.00217913312741993
"ANAEROFRUCAT.PWY..homolactic.fermentation","fermentation",3571,18,99.78,"no.family.ID",0.204104145506598,NA,"0.06-0.35",-4658.75267539154,0.00681210941552972,1,0.000504034582132565,0.135544668587896,0.0342750834294869,NA,"0-0.09",-4655.76589725062,0.245575895662547,1,0.0706547550432277,1,1.04533759270947e-08,NA,NA,-4655.09174754395,1,1,0.311648991354467,1,0.761620760610539,NA,"0.62-0.9",-4655.09174828611,-0.00124013939364445,0.000913437435661049,0.174570925829826,0.0285612275005286,0.0297886995067205,0.337662513054309,-0.23473681407692,0.101300235368299,0.0204907387261633,0.0437561916941414,0.0263883358189801,0.0972843442758689
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II","II",3571,0,100,"no.family.ID",0.204179689438268,NA,"0.07-0.34",-4226.75030219082,0.00757376779361566,1,0.000502017291066282,0.135544668587896,0.0291361230494595,NA,"0-0.09",-4223.6244347183,0.348242293488218,1,0.0969363112391931,1,1.69981297309809e-09,NA,NA,-4223.1845087831,1,1,0.329390489913545,1,0.76668418581246,NA,"0.63-0.9",-4223.18450885496,-0.00449229806279257,0.000808376921751116,2.74164103823018e-08,-0.0440505187131142,0.0264293995118656,0.0955692664557506,-0.143428216222079,0.0897516218642271,0.110030270768041,0.0288192721603485,0.0233793116114537,0.217694181544831
"PWY.5667..CDP.diacylglycerol.biosynthesis.I","I",3571,0,100,"no.family.ID",0.204139144068373,NA,"0.07-0.34",-4226.79652179862,0.00758011137882143,1,0.000503746397694524,0.135544668587896,0.0291190254942842,NA,"0-0.09",-4223.67112530695,0.34839553222743,1,0.0970406340057637,1,9.02153627192551e-11,NA,NA,-4223.23147904682,1,1,0.386206340057637,1,0.766741830347128,NA,"0.63-0.9",-4223.23147905888,-0.00449176175847003,0.000808382825505503,2.75271670016283e-08,-0.0440560486919424,0.0264298649120695,0.0955334867442059,-0.143371877819718,0.0897527711164783,0.110174583819543,0.0288237359685412,0.0233796071612141,0.217628743698393
"PANTO.PWY..phosphopantothenate.biosynthesis.I","I",3571,0,100,"no.family.ID",0.207522876057182,NA,"0.07-0.34",-4373.83590831473,0.00907399766699115,1,0.000427377521613833,0.115819308357349,0.0395258812885265,NA,"0-0.1",-4371.0513599064,0.265643156736949,1,0.0499043227665706,1,6.35782894022613e-10,NA,NA,-4370.43180621815,1,1,0.344321902017291,1,0.752951242018509,NA,"0.62-0.88",-4370.43180622653,-0.00572099042765935,0.000844623928004024,1.2577538045015e-11,-0.0254796517506407,0.0274693049673368,0.353631637543998,-0.149621878359373,0.093546586977386,0.109723522461581,0.0631803138162751,0.0243694756881112,0.00952533581460155
