"Trait","Trait.short","N","Nz","Prev","MS.Mdl","VE_ID","CI_ID","MS.CI_ID","LogL_ID","Pv_ID","FDR_ID","SW_PV_ID","SW_FDR_ID","VE_COHOUSING.ID_DMP","CI_COHOUSING.ID_DMP","MS.CI_COHOUSING.ID_DMP","LogL_COHOUSING.ID_DMP","Pv_COHOUSING.ID_DMP","FDR_COHOUSING.ID_DMP","SW_PV_COHOUSING.ID_DMP","SW_FDR_COHOUSING.ID_DMP","VE_famID","CI_famID","MS.CI_famID","LogL_famID","Pv_famID","FDR_famID","SW_PV_famID","SW_FDR_famID","VE_Residual","CI_Residual","MS.CI_Residual","LogL_Residual","Est_Age","SE_Age","P.Chisq_Age","Est_Sex","SE_Sex","P.Chisq_Sex","Est_META.DNA.postclean.reads","SE_META.DNA.postclean.reads","P.Chisq_META.DNA.postclean.reads","Est_META.POOP.Freq","SE_META.POOP.Freq","P.Chisq_META.POOP.Freq"
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__Akkermansia_muciniphila","s__Akkermansia_muciniphila",3571,1791,78.18,"full.model",0.302239011,"0.17-0.43","0.17-0.43",-10902.6268,2.55e-05,0.0065535,3.11284046692607e-05,0.00796887159533074,0.024743307,"0-0.08","0-0.08",-10894.12185,0.397952622,1,0.126852140077821,1,0,"0-0.04","0-0.04",-10893.76459,0.999989567,1,1,1,0.673017682,"0.55-0.79","0.55-0.79",-10893.76459,0.020296468,0.005246865,0.000109595,-0.467182282,0.171221095,0.006361687,2.203686817,0.580972645,0.000148779,-0.733566919,0.151356318,1.26e-06
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae","f__Verrucomicrobiaceae",3571,1791,78.18,"full.model",0.301827121,"0.17-0.43","0.17-0.43",-10900.29256,2.64e-05,0.0067584,3.11284046692607e-05,0.00796887159533074,0.024619948,"0-0.08","0-0.08",-10891.81419,0.400325792,1,0.127692607003891,1,4.25e-14,"0-0.04","0-0.04",-10891.46051,0.999963635,1,0.387385214007782,1,0.673552931,"0.55-0.79","0.55-0.79",-10891.46051,0.020284269,0.005243278,0.000109452,-0.468056542,0.171116665,0.00623222,2.201453953,0.580598088,0.000149619,-0.736182863,0.151258514,1.13e-06
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales","o__Verrucomicrobiales",3571,1791,78.18,"full.model",0.30182712,"0.17-0.43","0.17-0.43",-10900.29256,2.64e-05,0.0067584,3.11284046692607e-05,0.00796887159533074,0.02461995,"0-0.08","0-0.08",-10891.81419,0.400325775,1,0.127692607003891,1,4.35e-14,"0-0.04","0-0.04",-10891.46051,0.999963318,1,0.387338521400778,1,0.67355293,"0.56-0.79","0.56-0.79",-10891.46051,0.020284268,0.005243278,0.000109452,-0.468056542,0.171116665,0.00623222,2.201453952,0.580598088,0.000149619,-0.73618286,0.151258514,1.13e-06
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae","c__Verrucomicrobiae",3571,1791,78.18,"full.model",0.301827119,"0.17-0.43","0.17-0.43",-10900.29256,2.64e-05,0.0067584,3.11284046692607e-05,0.00796887159533074,0.024619948,"0-0.08","0-0.08",-10891.81419,0.400325767,1,0.127692607003891,1,4.41e-14,"0-0.04","0-0.04",-10891.46051,0.999963666,1,0.38731906614786,1,0.673552933,"0.55-0.79","0.55-0.79",-10891.46051,0.020284268,0.005243278,0.000109452,-0.468056543,0.171116665,0.00623222,2.201453954,0.580598088,0.000149619,-0.73618286,0.151258514,1.13e-06
"k__Bacteria.p__Verrucomicrobia","p__Verrucomicrobia",3571,1791,78.18,"no.family.ID",0.301827116,NA,"0.17-0.43",-10900.29256,2.64e-05,0.0067584,3.11284046692607e-05,0.00796887159533074,0.024619949,NA,"0-0.07",-10891.81419,0.400325776,1,0.127692607003891,1,5.19e-14,NA,NA,-10891.46051,0.999963954,1,0.387077821011673,1,0.673552935,NA,"0.56-0.8",-10891.46051,0.020284268,0.005243278,0.000109452,-0.468056545,0.171116665,0.00623222,2.201453954,0.580598088,0.000149619,-0.73618286,0.151258514,1.13e-06
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia","g__Akkermansia",3571,1791,78.18,"no.family.ID",0.301827117,NA,"0.17-0.43",-10900.29256,2.64e-05,0.0067584,3.11284046692607e-05,0.00796887159533074,0.024619948,NA,"0-0.07",-10891.81419,0.400325783,1,0.127692607003891,1,4.3e-14,NA,NA,-10891.46051,0.999963097,1,0.387369649805447,1,0.673552935,NA,"0.56-0.8",-10891.46051,0.020284268,0.005243278,0.000109452,-0.468056544,0.171116665,0.00623222,2.201453973,0.580598088,0.000149619,-0.736182856,0.151258514,1.13e-06
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_coprocola","s__Bacteroides_coprocola",3571,6543,20.28,"no.family.ID",0.228361343,NA,"0.1-0.34",-10443.3133,0.000389972,0.097882972,0.000392996108949416,0.0954980544747082,0.269370861,NA,"0.21-0.32",-10469.56262,7.2e-16,1.7856e-13,0,0,0,NA,NA,-10437.02348,1,1,1,1,0.502267796,NA,"0.39-0.62",-10437.02348,0.000424308,0.004826406,0.929945081,0.393084071,0.140515076,0.005150754,1.160383731,0.507718761,0.022284391,-0.082922296,0.132807034,0.532376869
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__Parabacteroides_goldsteinii","s__Parabacteroides_goldsteinii",3571,6502,20.77,"no.family.ID",0.266308275,NA,"0.12-0.4",-9779.871554,0.000612726,0.1531815,0.000108949416342412,0.0270194552529183,0.252038729,NA,"0.2-0.3",-9798.376117,2.91e-12,6.9258e-10,0,0,0,NA,NA,-9774.003097,1,1,1,1,0.481652997,NA,"0.34-0.63",-9774.003097,0.034092141,0.003995352,1.43e-17,0.044208558,0.11730106,0.706261932,-0.119000704,0.422012715,0.777956014,-0.217023428,0.110367028,0.049254824
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae","f__Bacteroidaceae",3571,9,99.89,"no.family.ID",0.299470729,NA,"0.15-0.43",-5514.164701,0.000818916,0.203910084,3.11284046692607e-05,0.00796887159533074,0.094703901,NA,"0.03-0.15",-5511.429681,0.016698163,1,0.000622568093385214,0.0884046692607004,1.26e-08,NA,NA,-5508.56577,1,1,0.309326848249027,1,0.605825358,NA,"0.47-0.75",-5508.56577,-0.002367358,0.00117836,0.044534056,-0.0308737,0.037209045,0.406687823,-0.598101941,0.128622459,3.32e-06,0.187162731,0.033533666,2.39e-08
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","g__Bacteroides",3571,9,99.89,"no.family.ID",0.299470864,NA,"0.15-0.43",-5514.164702,0.000818917,0.203910084,3.11284046692607e-05,0.00796887159533074,0.094703903,NA,"0.03-0.15",-5511.429684,0.016698156,1,0.000622568093385214,0.0884046692607004,1.24e-08,NA,NA,-5508.565771,1,1,0.3094046692607,1,0.605825221,NA,"0.47-0.75",-5508.565771,-0.002367359,0.00117836,0.044534035,-0.030873708,0.037209045,0.406687709,-0.598101907,0.128622459,3.32e-06,0.187162739,0.033533666,2.39e-08
