"Taxon_Shortname","LBL","CI_ID_low","CI_ID_high","Var.Exp","Var.Exp.NR"
"PWY.7392..taxadiene.biosynthesis..engineered.","",0,0.12,"Additive genetics",0
"P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate.","",0,0.06,"Additive genetics",0
"PWY.5747..2.methylcitrate.cycle.II","",0,0.14,"Additive genetics",0
"GLUTORN.PWY..L.ornithine.biosynthesis","",0,0.1,"Additive genetics",0
"PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.","",0,0.1,"Additive genetics",0
"PWY.6588..pyruvate.fermentation.to.acetone","",0,0.1,"Additive genetics",0
"PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation","",0,0.11,"Additive genetics",0
"PWY.7003..glycerol.degradation.to.butanol","",0,0.1,"Additive genetics",0
"PWY.6901..superpathway.of.glucose.and.xylose.degradation","",0,0.16,"Additive genetics",0
"PWY.5941..glycogen.degradation.II..eukaryotic.","",0,0.06,"Additive genetics",0
"PWY.7371..1.4.dihydroxy.6.naphthoate.biosynthesis.II","",0,0.1,"Additive genetics",0
"PWY.6823..molybdenum.cofactor.biosynthesis","",0,0.07,"Additive genetics",0
"PWY.6590..superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation","",0,0.12,"Additive genetics",0
"ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion","",0,0.12,"Additive genetics",0
"PYRIDNUCSAL.PWY..NAD.salvage.pathway.I","",0,0.12,"Additive genetics",0
"ENTBACSYN.PWY..enterobactin.biosynthesis","",0,0.1,"Additive genetics",0
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis","",0,0.1,"Additive genetics",0
"PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.I","",0,0.1,"Additive genetics",0
"PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle.","",0,0.05,"Additive genetics",0
"PWY.3781..aerobic.respiration.I..cytochrome.c.","",0,0.09,"Additive genetics",0
"PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.","",0,0.06,"Additive genetics",0
"PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I","",0,0.09,"Additive genetics",0
"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation","",0,0.12,"Additive genetics",0
"PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis","",0,0.16,"Additive genetics",0
"PWY.6731..starch.degradation.III","",0,0.13,"Additive genetics",0
"PWY.6895..superpathway.of.thiamin.diphosphate.biosynthesis.II","",0,NA,"Additive genetics",0
"PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis","",0,0.07,"Additive genetics",0
"PWY0.781..aspartate.superpathway","",0,0.1,"Additive genetics",0
"PWY_REDCITCYC..TCA.cycle.VIII..helicobacter.","",0,0.11,"Additive genetics",0
"PWY_TCA..TCA.cycle.I..prokaryotic.","",0,0.11,"Additive genetics",0
"GLUCONEO.PWY..gluconeogenesis.I","",0,NA,"Additive genetics",0
"LPSSYN.PWY..superpathway.of.lipopolysaccharide.biosynthesis","",0,0.08,"Additive genetics",0
"P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.","",0,0.1,"Additive genetics",0
"P124.PWY..Bifidobacterium.shunt","",0,0.17,"Additive genetics",0
"P164.PWY..purine.nucleobases.degradation.I..anaerobic.","",0,0.05,"Additive genetics",0
"P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I","",0,0.1,"Additive genetics",0
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","",0,0.06,"Additive genetics",0
"PENTOSE.P.PWY..pentose.phosphate.pathway","",0,0.14,"Additive genetics",0
"ECASYN.PWY..enterobacterial.common.antigen.biosynthesis","",0,0.1,"Additive genetics",1.01280610026755e-10
"PWY.5676..acetyl.CoA.fermentation.to.butanoate.II","",0,0.06,"Additive genetics",1.08758814838967e-10
"CENTFERM.PWY..pyruvate.fermentation.to.butanoate","",NA,NA,"Additive genetics",4.39276086697599e-10
"PWY0.42..2.methylcitrate.cycle.I","",0,0.17,"Additive genetics",4.41357330190254e-10
"THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I","",0,0.17,"Additive genetics",5.80166207294084e-10
"PWY.6969..TCA.cycle.V..2.oxoglutarate.ferredoxin.oxidoreductase.","",0,0.1,"Additive genetics",6.281297964125e-10
"ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism","",0,0.14,"Additive genetics",8.65722701908658e-10
"PWY_ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis","",0,0.13,"Additive genetics",8.67070210432038e-10
"PWY.7254..TCA.cycle.VII..acetate.producers.","",0,0.08,"Additive genetics",1.02543757849962e-09
"PWY0.862...5Z..dodec.5.enoate.biosynthesis","",0,0.16,"Additive genetics",1.15800166397302e-09
"PWY.6629..superpathway.of.L.tryptophan.biosynthesis","",0,0.14,"Additive genetics",1.43682885965362e-09
"KDO.NAGLIPASYN.PWY..superpathway.of..Kdo.2.lipid.A.biosynthesis","",0,0.11,"Additive genetics",1.9713046028825e-09
"FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage","",0,0.2,"Additive genetics",2.80595414674797e-09
"PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.","",0,0.16,"Additive genetics",5.52484183799343e-09
"PWY0.41..allantoin.degradation.IV..anaerobic.","",0,0.12,"Additive genetics",5.61700466988237e-09
"AEROBACTINSYN.PWY..aerobactin.biosynthesis","",0,0.11,"Additive genetics",6.92482097547219e-09
"HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.","",0,0.06,"Additive genetics",7.497361111502e-09
