"Taxon_Shortname","LBL","CI_ID_low","CI_ID_high","Var.Exp","Var.Exp.NR"
"g__Acidaminococcus","",0,0.21,"Additive genetics",0
"g__Anaerostipes","",0,0.07,"Additive genetics",0
"g__Alistipes","",0,0.1,"Additive genetics",0
"g__Bacteroidales_noname","",0,0.12,"Additive genetics",0
"g__Coprococcus","",0,0.06,"Additive genetics",0
"g__Dorea","",0,0.06,"Additive genetics",0
"g__Subdoligranulum","",0,0.12,"Additive genetics",0
"g__Eubacterium","",0,0.15,"Additive genetics",1.46e-10
"g__Megamonas","",0,0.16,"Additive genetics",1.57e-10
"g__Ruminococcaceae_noname","",0,0.12,"Additive genetics",1.03e-09
"g__Bilophila","",0,0.17,"Additive genetics",4.22e-09
"g__Roseburia","",0,0.15,"Additive genetics",0.003226549
"g__Actinomyces","",0,0.13,"Additive genetics",0.018814788
"g__Blautia","",0,0.14,"Additive genetics",0.022426037
"g__Adlercreutzia","",0,0.18,"Additive genetics",0.032829971
"g__Coprobacter","",0,0.17,"Additive genetics",0.036711838
"g__Odoribacter","",0,0.18,"Additive genetics",0.041773247
"g__Oscillibacter","",0,0.22,"Additive genetics",0.047368566
"g__Gordonibacter","",0,0.18,"Additive genetics",0.050534986
"g__Clostridium","",0,0.21,"Additive genetics",0.055712078
"g__Rothia","",0,0.2,"Additive genetics",0.055816105
"g__Desulfovibrio","",0,0.25,"Additive genetics",0.058760681
"g__Streptococcus","",0,0.21,"Additive genetics",0.061337776
"g__Veillonella","",0,0.2,"Additive genetics",0.066296852
"g__Megasphaera","",0,0.21,"Additive genetics",0.071284047
"g__Prevotella","",0,0.22,"Additive genetics",0.07550281
"g__Lactobacillus","",0,0.23,"Additive genetics",0.080036141
"g__Methanobrevibacter","",0,0.21,"Additive genetics",0.081233443
"g__Barnesiella","",0,0.23,"Additive genetics",0.08389108
"g__Parasutterella","",0,0.22,"Additive genetics",0.086561491
"g__Peptostreptococcaceae_noname","",0,0.2,"Additive genetics",0.089049059
"g__Butyrivibrio","",0,0.25,"Additive genetics",0.089834199
"g__Pseudoflavonifractor","*",0,0.23,"Additive genetics",0.091069879
"g__Lachnospiraceae_noname","*",0,0.22,"Additive genetics",0.094372889
"g__Collinsella","*",0,0.24,"Additive genetics",0.095196287
"g__Burkholderiales_noname","*",0,0.24,"Additive genetics",0.097570988
"g__Erysipelotrichaceae_noname","*",0,0.24,"Additive genetics",0.099694313
"g__Klebsiella","*",0,0.25,"Additive genetics",0.100876487
"g__Parabacteroides","*",0,0.26,"Additive genetics",0.101197216
"g__Sutterellaceae_unclassified","*",0,0.25,"Additive genetics",0.105018582
"g__Haemophilus","*",0,0.22,"Additive genetics",0.113802941
"g__Catenibacterium","*",0,0.25,"Additive genetics",0.1171775
