"Taxon_Shortname","LBL","CI_ID_low","CI_ID_high","Var.Exp","Var.Exp.NR"
"s__Coprococcus_sp_ART55_1","",0,0.05,"Additive genetics",0
"s__Dorea_unclassified","",0,0.1,"Additive genetics",0
"s__Eubacterium_hallii","",0,0.08,"Additive genetics",0
"s__Coprococcus_comes","",0,0.11,"Additive genetics",0
"s__Lachnospiraceae_bacterium_5_1_63FAA","",0,0.14,"Additive genetics",0
"s__Anaerostipes_hadrus","",0,0.09,"Additive genetics",0
"s__Bifidobacterium_adolescentis","",0,0.11,"Additive genetics",0
"s__Coprococcus_eutactus","",0,0.04,"Additive genetics",0
"s__Lachnospiraceae_bacterium_3_1_46FAA","",0,0.11,"Additive genetics",0
"s__Anaerotruncus_unclassified","",0,0.11,"Additive genetics",0
"s__Subdoligranulum_unclassified","",0,0.13,"Additive genetics",0
"s__Acidaminococcus_unclassified","",0,0.1,"Additive genetics",0
"s__Eubacterium_rectale","",0,0.09,"Additive genetics",1.65e-10
"s__Ruminococcaceae_bacterium_D16","",0,0.15,"Additive genetics",2.69e-10
"s__Ruminococcus_obeum","",0,0.13,"Additive genetics",6.15e-10
"s__Bacteroides_nordii","",0,0.09,"Additive genetics",1.12e-09
"s__Roseburia_hominis","",0,0.2,"Additive genetics",1.93e-09
"s__Clostridium_hathewayi","",0,0.07,"Additive genetics",2.21e-09
"s__Bacteroidales_bacterium_ph8","",0,0.19,"Additive genetics",2.61e-09
"s__Dorea_formicigenerans","",0,0.21,"Additive genetics",3.15e-09
"s__Ruminococcus_torques","",0,0.15,"Additive genetics",3.22e-09
"s__Streptococcus_thermophilus","",0,0.16,"Additive genetics",3.79e-09
"s__Methanobrevibacter_unclassified","",0,0.11,"Additive genetics",6e-09
"s__Alistipes_shahii","",0,0.14,"Additive genetics",1.13e-08
"s__Ruminococcus_callidus","",0,0.13,"Additive genetics",2.72e-08
"s__Prevotella_stercorea","",0,0.14,"Additive genetics",3.53e-08
"s__Dorea_longicatena","",0,0.13,"Additive genetics",6.66e-08
"s__Bilophila_unclassified","",0,0.17,"Additive genetics",1.96e-07
"s__Bifidobacterium_catenulatum","",0,0.14,"Additive genetics",0.000403525
"s__Klebsiella_unclassified","",0,0.16,"Additive genetics",0.004992861
"s__Bacteroides_cellulosilyticus","",0,0.15,"Additive genetics",0.007308445
"s__Coprococcus_catus","",0,0.14,"Additive genetics",0.009160557
"s__Ruminococcus_gnavus","",0,0.16,"Additive genetics",0.009993299
"s__Alistipes_unclassified","",0,0.16,"Additive genetics",0.010211095
"s__Holdemania_unclassified","",0,0.17,"Additive genetics",0.012617594
"s__Alistipes_indistinctus","",0,0.14,"Additive genetics",0.016115791
"s__Odoribacter_splanchnicus","",0,0.14,"Additive genetics",0.016788448
"s__Roseburia_unclassified","",0,0.17,"Additive genetics",0.02017433
"s__Odoribacter_unclassified","",0,0.15,"Additive genetics",0.025911034
"s__Ruminococcus_lactaris","",0,0.16,"Additive genetics",0.027883475
"s__Alistipes_putredinis","",0,0.17,"Additive genetics",0.029642129
"s__Bacteroides_clarus","",0,0.17,"Additive genetics",0.030700049
"s__Adlercreutzia_equolifaciens","",0,0.18,"Additive genetics",0.03278783
"s__Bifidobacterium_bifidum","",0,0.17,"Additive genetics",0.033115451
"s__Coprobacter_fastidiosus","",0,0.17,"Additive genetics",0.036393848
"s__Bacteroides_vulgatus","",0,0.19,"Additive genetics",0.038072507
"s__Bacteroides_salyersiae","",0,0.17,"Additive genetics",0.039490566
"s__Parabacteroides_unclassified","",0,0.19,"Additive genetics",0.039950772
"s__Oscillibacter_unclassified","",0,0.21,"Additive genetics",0.041168572
"s__Lachnospiraceae_bacterium_1_1_57FAA","",0,0.17,"Additive genetics",0.046533281
"s__Gordonibacter_pamelaeae","",0,0.18,"Additive genetics",0.051001825
"s__Anaerotruncus_colihominis","",0,0.2,"Additive genetics",0.05184397
"s__Parabacteroides_distasonis","",0,0.2,"Additive genetics",0.052845965
"s__Bifidobacterium_pseudocatenulatum","",0,0.19,"Additive genetics",0.054594492
"s__Bilophila_wadsworthia","",0,0.2,"Additive genetics",0.056333825
"s__Bifidobacterium_dentium","",0,0.18,"Additive genetics",0.056456075
"s__Lachnospiraceae_bacterium_3_1_57FAA_CT1","",0,0.18,"Additive genetics",0.056609483
"s__Clostridium_bartlettii","",0,0.17,"Additive genetics",0.057168884
"s__Bacteroides_xylanisolvens","",0,0.19,"Additive genetics",0.058744039
