Bacterial pathway	full_name	cate_name	class_name
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to beta;-ketoadipate	Catechol-Degradation	aromatic compounds degradation
PWY-5173	superpathway of acetyl-CoA biosynthesis	Acetyl-CoA-Biosynthesis;Energy-Metabolism;Pathways	acetyl-coa biosynthesis
PWY-7616	methanol oxidation to carbon dioxide	Alcohol-Degradation;Degradation;Pathways	alcohol degradation
GOLPDLCAT-PWY	"superpathway of glycerol degradation to 1,3-propanediol"	GLYCEROL-DEG;Alcohol-Degradation;Degradation	alcohol degradation
PWY66-389	phytol degradation	Alcohol-Degradation;Degradation;Pathways	alcohol degradation
PWY-7013	"L-1,2-propanediol degradation"	Alcohol-Degradation;Degradation;Pathways	alcohol degradation
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	Alcohol-Degradation;Degradation;Pathways	alcohol degradation
METHGLYUT-PWY	superpathway of methylglyoxal degradation	Aldehyde-Degradation;Degradation;Pathways	aldehyde degradation
ORNDEG-PWY	superpathway of ornithine degradation	AMINE-DEG;Degradation;Pathways	amine and polyamine degradation
URDEGR-PWY	superpathway of allantoin degradation in plants	Allantoin-degradation;AMINE-DEG;Degradation	amine and polyamine degradation
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	Allantoin-degradation;AMINE-DEG;Degradation	amine and polyamine degradation
PWY-5692	allantoin degradation to glyoxylate II	Allantoin-degradation;AMINE-DEG;Degradation	amine and polyamine degradation
PWY-5022	4-aminobutanoate degradation V	4-Aminobutyraye-Degradation;AMINE-DEG;Degradation	amine and polyamine degradation
PWY-4722	creatinine degradation II	Creatinine-Degradation;AMINE-DEG;Degradation	amine and polyamine degradation
PWY0-41	allantoin degradation IV (anaerobic)	Allantoin-degradation;AMINE-DEG;Degradation	amine and polyamine degradation
PWY-5705	allantoin degradation to glyoxylate III	Allantoin-degradation;AMINE-DEG;Degradation	amine and polyamine degradation
PWY-6071	superpathway of phenylethylamine degradation	AMINE-DEG;Degradation;Pathways	amine and polyamine degradation
