"nr","spec.nr.mn","spec.nr.sd","cohort","Taxon","linetype"
10,60.5,3.17104959840674,"DAG3","Genera","solid"
20,67.5,3.92286743197994,"DAG3","Genera","solid"
30,74.8,4.07703596037884,"DAG3","Genera","solid"
40,78.9,4.38304815295373,"DAG3","Genera","solid"
50,80.1,2.88482620312251,"DAG3","Genera","solid"
75,88.9,4.84079883214882,"DAG3","Genera","solid"
100,91.6,5.01553143301441,"DAG3","Genera","solid"
150,99.2,4.68567557088149,"DAG3","Genera","solid"
200,102.9,3.63470921960906,"DAG3","Genera","solid"
300,112.8,4.84882574559152,"DAG3","Genera","solid"
400,119.4,4.6475800154489,"DAG3","Genera","solid"
500,126.3,4.96767327606977,"DAG3","Genera","solid"
750,133.6,4.11501316320292,"DAG3","Genera","solid"
1000,141.3,3.65300485141266,"DAG3","Genera","solid"
1500,151.3,4.49814776695179,"DAG3","Genera","solid"
2000,160.4,5.1033757890679,"DAG3","Genera","solid"
2500,165.1,4.33205109234259,"DAG3","Genera","solid"
3000,168.3,2.98328677803526,"DAG3","Genera","solid"
3500,173.9,4.48330235429198,"DAG3","Genera","solid"
4000,179.1,5.23768396653839,"DAG3","Genera","solid"
4500,180.8,1.98885785202351,"DAG3","Genera","solid"
5000,185.6,4.16866618689693,"DAG3","Genera","solid"
5500,188.2,3.35989417822777,"DAG3","Genera","solid"
6000,189.1,2.84604989415154,"DAG3","Genera","solid"
6500,191.2,3.35989417822777,"DAG3","Genera","solid"
7000,195.4,3.23865541373097,"DAG3","Genera","solid"
7500,197.8,1.93218356615859,"DAG3","Genera","solid"
8000,199.3,1.05934990547138,"DAG3","Genera","solid"
10,133.9,3.75499667110372,"DAG3","Species","solid"
20,162.2,10.2067515781358,"DAG3","Species","solid"
30,177.1,5.98980615527563,"DAG3","Species","solid"
40,188.4,7.26024180803306,"DAG3","Species","solid"
50,199.7,7.37940075856811,"DAG3","Species","solid"
75,217.5,6.65415492589238,"DAG3","Species","solid"
100,235.9,9.59687449120806,"DAG3","Species","solid"
150,251,9.12870929175277,"DAG3","Species","solid"
200,270.5,12.782366325876,"DAG3","Species","solid"
300,299.3,7.70353454230228,"DAG3","Species","solid"
400,317,12.5698050899765,"DAG3","Species","solid"
500,331,10.6666666666667,"DAG3","Species","solid"
750,367.6,14.5235441037418,"DAG3","Species","solid"
1000,385.1,10.4610388266813,"DAG3","Species","solid"
1500,418.1,10.6505085950547,"DAG3","Species","solid"
2000,441.2,10.1958597261612,"DAG3","Species","solid"
2500,465.6,7.41170245849989,"DAG3","Species","solid"
3000,480.9,11.798775831039,"DAG3","Species","solid"
3500,495.4,9.82287579524901,"DAG3","Species","solid"
4000,513.7,11.5571045970289,"DAG3","Species","solid"
4500,524.2,7.61285462593077,"DAG3","Species","solid"
5000,537,7.43863786814047,"DAG3","Species","solid"
5500,544.2,7.800284895082,"DAG3","Species","solid"
6000,552.8,4.34101882562659,"DAG3","Species","solid"
6500,561.3,6.96100248208227,"DAG3","Species","solid"
7000,573.2,2.97396106975939,"DAG3","Species","solid"
7500,580.4,4.55094617756694,"DAG3","Species","solid"
8000,586.5,1.50923085635624,"DAG3","Species","solid"
10,29.9,1.79195734076208,"DAG3","Families","solid"
20,33.1,1.79195734076208,"DAG3","Families","solid"
30,35,2.26077666104176,"DAG3","Families","solid"
40,36.1,2.37814119756493,"DAG3","Families","solid"
50,37.5,2.27303028283098,"DAG3","Families","solid"
75,40.8,2.5298221281347,"DAG3","Families","solid"
100,42.9,2.13177026070926,"DAG3","Families","solid"
150,44.9,3.14289321768618,"DAG3","Families","solid"
200,50.6,3.83550663030467,"DAG3","Families","solid"
300,53.1,2.68535120814971,"DAG3","Families","solid"
400,55,2.44948974278318,"DAG3","Families","solid"
500,56.2,4.10419839243237,"DAG3","Families","solid"
750,63.1,1.52388392675499,"DAG3","Families","solid"
1000,65.1,2.68535120814971,"DAG3","Families","solid"
1500,68.7,1.82878222991269,"DAG3","Families","solid"
2000,70.3,2.86937856222098,"DAG3","Families","solid"
2500,73.8,1.87379590967403,"DAG3","Families","solid"
3000,76.4,2.11869981094276,"DAG3","Families","solid"
3500,78.3,1.70293863659264,"DAG3","Families","solid"
4000,78.5,1.90029237516523,"DAG3","Families","solid"
4500,82.4,2.36643191323985,"DAG3","Families","solid"
5000,81.5,2.12132034355964,"DAG3","Families","solid"
5500,82.6,1.26491106406735,"DAG3","Families","solid"
6000,84.8,1.54919333848297,"DAG3","Families","solid"
6500,85.5,1.77951304200522,"DAG3","Families","solid"
7000,87,2.16024689946929,"DAG3","Families","solid"
7500,88.4,1.07496769977314,"DAG3","Families","solid"
8000,88.4,1.26491106406735,"DAG3","Families","solid"
10,346.4,9.35948716543807,"DAG3","Pathways","dashed"
20,368.5,17.4562946303682,"DAG3","Pathways","dashed"
30,376,15.1657508881031,"DAG3","Pathways","dashed"
40,384,24.6351149558692,"DAG3","Pathways","dashed"
50,394.1,15.9056244419667,"DAG3","Pathways","dashed"
75,402.8,21.08606701645,"DAG3","Pathways","dashed"
100,420.1,15.5166577157153,"DAG3","Pathways","dashed"
150,428.3,16.7136005828919,"DAG3","Pathways","dashed"
200,444.3,19.1081716085611,"DAG3","Pathways","dashed"
300,455.7,8.7692645073575,"DAG3","Pathways","dashed"
400,471,15.0111069989303,"DAG3","Pathways","dashed"
500,467.1,9.59687449120806,"DAG3","Pathways","dashed"
750,493.5,12.8603611492403,"DAG3","Pathways","dashed"
1000,502,11.4309521329882,"DAG3","Pathways","dashed"
1500,517.7,10.7191417566893,"DAG3","Pathways","dashed"
2000,524.5,6.60387091871965,"DAG3","Pathways","dashed"
2500,532.1,6.31488541287788,"DAG3","Pathways","dashed"
3000,539.7,6.79950978625175,"DAG3","Pathways","dashed"
3500,546.8,4.54116969758037,"DAG3","Pathways","dashed"
4000,544.8,4.34101882562659,"DAG3","Pathways","dashed"
4500,550.5,3.30823887354653,"DAG3","Pathways","dashed"
5000,553.5,6.24054840894969,"DAG3","Pathways","dashed"
5500,555.3,3.91719854544602,"DAG3","Pathways","dashed"
6000,557.7,2.98328677803526,"DAG3","Pathways","dashed"
6500,560.1,2.18326971917504,"DAG3","Pathways","dashed"
7000,559.9,2.80673792466945,"DAG3","Pathways","dashed"
7500,562.1,1.66332999331662,"DAG3","Pathways","dashed"
8000,563.6,0.966091783079296,"DAG3","Pathways","dashed"
10,44.9,3.63470921960906,"DAG3","VFs","dashed"
20,74.2,6.19677335393187,"DAG3","VFs","dashed"
30,73.3,6.61731734835869,"DAG3","VFs","dashed"
40,80.8,6.49444206824403,"DAG3","VFs","dashed"
50,89.1,7.50481327031008,"DAG3","VFs","dashed"
75,100.5,8.24957911384305,"DAG3","VFs","dashed"
100,109.8,4.91709037722287,"DAG3","VFs","dashed"
150,124.1,6.77331364826536,"DAG3","VFs","dashed"
200,130.2,6.7954232964384,"DAG3","VFs","dashed"
300,148.9,4.33205109234259,"DAG3","VFs","dashed"
400,154.7,5.90762219509677,"DAG3","VFs","dashed"
500,159.8,5.15967268557049,"DAG3","VFs","dashed"
750,175.3,4.98998997994986,"DAG3","VFs","dashed"
1000,178.2,2.57336787541584,"DAG3","VFs","dashed"
1500,185.5,2.91547594742265,"DAG3","VFs","dashed"
2000,187.7,2.05750658160146,"DAG3","VFs","dashed"
2500,189.3,0.674948557710553,"DAG3","VFs","dashed"
3000,189.8,0.421637021355784,"DAG3","VFs","dashed"
3500,189.9,0.316227766016838,"DAG3","VFs","dashed"
4000,189.9,0.316227766016838,"DAG3","VFs","dashed"
4500,190,0,"DAG3","VFs","dashed"
5000,190,0,"DAG3","VFs","dashed"
5500,189.9,0.316227766016838,"DAG3","VFs","dashed"
6000,190,0,"DAG3","VFs","dashed"
6500,190,0,"DAG3","VFs","dashed"
7000,190,0,"DAG3","VFs","dashed"
7500,190,0,"DAG3","VFs","dashed"
8000,190,0,"DAG3","VFs","dashed"
10,105.9,28.1679486887727,"DAG3","CARDs","dashed"
20,130.4,12.3756032400669,"DAG3","CARDs","dashed"
30,144.2,20.2966882903481,"DAG3","CARDs","dashed"
40,151.9,14.745620818851,"DAG3","CARDs","dashed"
50,168.9,16.044729144904,"DAG3","CARDs","dashed"
75,182.5,24.4597174508983,"DAG3","CARDs","dashed"
100,196.4,26.7714607578875,"DAG3","CARDs","dashed"
150,212.9,18.1686543255135,"DAG3","CARDs","dashed"
200,228.2,13.172361637577,"DAG3","CARDs","dashed"
300,252.3,16.4049450539227,"DAG3","CARDs","dashed"
400,262.6,9.77752524926425,"DAG3","CARDs","dashed"
500,274.5,13.1085214014905,"DAG3","CARDs","dashed"
750,288.5,3.30823887354653,"DAG3","CARDs","dashed"
1000,292.5,4.24918292799399,"DAG3","CARDs","dashed"
1500,298.4,2.22111083319436,"DAG3","CARDs","dashed"
2000,301.4,1.26491106406735,"DAG3","CARDs","dashed"
2500,302,1.05409255338946,"DAG3","CARDs","dashed"
3000,302.8,0.421637021355784,"DAG3","CARDs","dashed"
3500,302.9,0.316227766016838,"DAG3","CARDs","dashed"
4000,303,0,"DAG3","CARDs","dashed"
4500,303,0,"DAG3","CARDs","dashed"
5000,303,0,"DAG3","CARDs","dashed"
5500,303,0,"DAG3","CARDs","dashed"
6000,303,0,"DAG3","CARDs","dashed"
6500,303,0,"DAG3","CARDs","dashed"
7000,303,0,"DAG3","CARDs","dashed"
7500,303,0,"DAG3","CARDs","dashed"
8000,303,0,"DAG3","CARDs","dashed"
