"nr","spec.nr.mn","spec.nr.sd","cohort","Taxon","linetype"
10,161.2,3.04776785350999,"DAG3","Genera","solid"
20,170.7,2.75075747143703,"DAG3","Genera","solid"
30,174.5,2.83823106098773,"DAG3","Genera","solid"
40,178.8,3.61478445646026,"DAG3","Genera","solid"
50,182,2.35702260395516,"DAG3","Genera","solid"
75,187.3,2.21359436211787,"DAG3","Genera","solid"
100,189.2,2.14993539954628,"DAG3","Genera","solid"
150,192.6,2.17050941281329,"DAG3","Genera","solid"
200,195.4,1.34989711542111,"DAG3","Genera","solid"
300,196.7,1.33749350984926,"DAG3","Genera","solid"
400,198.1,1.10050493461461,"DAG3","Genera","solid"
500,198.5,1.08012344973464,"DAG3","Genera","solid"
750,199.2,0.632455532033676,"DAG3","Genera","solid"
1000,199.7,0.483045891539648,"DAG3","Genera","solid"
1500,199.5,0.52704627669473,"DAG3","Genera","solid"
2000,200,0,"DAG3","Genera","solid"
10,464.5,5.06074215022966,"DAG3","Species","solid"
20,495.2,2.85968141193696,"DAG3","Species","solid"
30,511.5,5.03873881927699,"DAG3","Species","solid"
40,522.3,4.3728963196287,"DAG3","Species","solid"
50,530.5,6.80277721065285,"DAG3","Species","solid"
75,543.5,3.34165627596057,"DAG3","Species","solid"
100,550.4,4.27395211328656,"DAG3","Species","solid"
150,561.3,3.26768691550733,"DAG3","Species","solid"
200,566.5,2.54950975679639,"DAG3","Species","solid"
300,572.2,2.25092573548455,"DAG3","Species","solid"
400,578.3,2.35937844922485,"DAG3","Species","solid"
500,581.5,2.06827894099848,"DAG3","Species","solid"
750,583.7,1.88856206322871,"DAG3","Species","solid"
1000,584.5,1.17851130197758,"DAG3","Species","solid"
1500,585.8,0.421637021355784,"DAG3","Species","solid"
2000,586,0,"DAG3","Species","solid"
10,69.3,1.49443411809733,"DAG3","Families","solid"
20,73.5,2.12132034355964,"DAG3","Families","solid"
30,76.5,1.95789002074512,"DAG3","Families","solid"
40,78.9,1.91195071996,"DAG3","Families","solid"
50,80.7,2.45175673979111,"DAG3","Families","solid"
75,82.5,1.17851130197758,"DAG3","Families","solid"
100,83,1.33333333333333,"DAG3","Families","solid"
150,85.2,1.03279555898864,"DAG3","Families","solid"
200,86.2,1.22927259430572,"DAG3","Families","solid"
300,87.4,1.17378779077727,"DAG3","Families","solid"
400,88,0.666666666666667,"DAG3","Families","solid"
500,88.2,0.918936583472681,"DAG3","Families","solid"
750,88.6,0.516397779494322,"DAG3","Families","solid"
1000,88.9,0.316227766016838,"DAG3","Families","solid"
1500,89,0,"DAG3","Families","solid"
2000,89,0,"DAG3","Families","solid"
10,270.9,3.72528895225294,"DAG3","Pathways","dashed"
20,290.4,3.20416395751944,"DAG3","Pathways","dashed"
30,297.9,3.57304725222976,"DAG3","Pathways","dashed"
40,306.2,3.48966728754731,"DAG3","Pathways","dashed"
50,313.9,4.62961481479111,"DAG3","Pathways","dashed"
75,321.3,2.90784379834192,"DAG3","Pathways","dashed"
100,325.1,4.28044649799787,"DAG3","Pathways","dashed"
150,335.8,3.35989417822777,"DAG3","Pathways","dashed"
200,338.3,2.00277585143997,"DAG3","Pathways","dashed"
300,342,1.56347191994114,"DAG3","Pathways","dashed"
400,343.8,1.54919333848297,"DAG3","Pathways","dashed"
500,344.8,1.03279555898864,"DAG3","Pathways","dashed"
750,346,1.05409255338946,"DAG3","Pathways","dashed"
1000,346.3,0.674948557710553,"DAG3","Pathways","dashed"
1500,346.9,0.316227766016838,"DAG3","Pathways","dashed"
2000,347,0,"DAG3","Pathways","dashed"
10,90.8,20.0266489125532,"DAG3","VFs","dashed"
20,131.8,13.603921003397,"DAG3","VFs","dashed"
30,146.3,13.960659010233,"DAG3","VFs","dashed"
40,148.9,14.8057796522544,"DAG3","VFs","dashed"
50,164.6,12.4739729036101,"DAG3","VFs","dashed"
75,191.4,15.3202843025549,"DAG3","VFs","dashed"
100,195.9,20.2234737097485,"DAG3","VFs","dashed"
150,218.9,23.1778150633555,"DAG3","VFs","dashed"
200,244.4,10.9564795643694,"DAG3","VFs","dashed"
300,244.7,11.116054455906,"DAG3","VFs","dashed"
400,265,8.29993306532582,"DAG3","VFs","dashed"
500,270.5,6.68746754924629,"DAG3","VFs","dashed"
750,279.6,8.52708104283706,"DAG3","VFs","dashed"
1000,283.9,5.74359546703012,"DAG3","VFs","dashed"
1500,293.1,5.40473043833928,"DAG3","VFs","dashed"
2000,297,0,"DAG3","VFs","dashed"
10,102.3,15.9934014171123,"DAG3","CARDs","dashed"
20,124.2,12.2818746307086,"DAG3","CARDs","dashed"
30,145.6,17.8462569994072,"DAG3","CARDs","dashed"
40,150.3,9.90005611656374,"DAG3","CARDs","dashed"
50,166.7,20.0446723317915,"DAG3","CARDs","dashed"
75,188.6,25.8809239058852,"DAG3","CARDs","dashed"
100,200.5,21.9152407647687,"DAG3","CARDs","dashed"
150,217.9,16.0239404225885,"DAG3","CARDs","dashed"
200,223.8,17.2613891548611,"DAG3","CARDs","dashed"
300,244.4,15.4646550415958,"DAG3","CARDs","dashed"
400,261.9,7.65143414298551,"DAG3","CARDs","dashed"
500,271.2,6.54556677793791,"DAG3","CARDs","dashed"
750,281.3,7.34922520481657,"DAG3","CARDs","dashed"
1000,281.5,4.88193950529227,"DAG3","CARDs","dashed"
1500,292.7,6.0562181085045,"DAG3","CARDs","dashed"
2000,297,0,"DAG3","CARDs","dashed"
